name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
Claire,5,,,4,,,,2,3,,,3,,,,,3,,,,,,2,,5,2,,,5,,,,,
Sophie,,5,,,3,,,,,4,,,,5,,,3,,4,,2,,,,,,5,,,,,,2,4
Catherine,3,,1,,,2,,,4,,,1,,,,,,,2,,,,,,,3,4,,2,,1,,,
Ned,,5,,,,,5,,,,4,,,,,5,,,,,4,,,,4,,,3,4,4,,,4,
May,,,,,,4,,,,,,2,,,1,,,,2,3,,,,,5,,5,,,,1,4,,3
Jack,,,,,,,,3,5,,4,,,,,4,5,2,,,,2,1,,4,,,3,,,,,,
Gavin,5,,,,,,,,,3,1,,,,,,,5,,,,,,,2,1,,4,4,4,,2,,
Blake,4,,,,,,5,5,,5,4,,,,5,,2,,,,,,3,,3,3,,,,,,,,
Suhas,,,,,,,,4,,,4,,,,,,3,5,2,,,,,3,,,4,1,,1,,,,4
Geebs,,,2,,4,,,,3,,,,,4,,,2,3,,,,,3,5,,,4,,,,,,,
Ellie,,3,,,,,,,,,,,,4,,,,,4,,5,,5,3,3,,,4,,4,2,,,
Mina,2,2,,3,3,,,,,,3,,,,,,1,4,,5,,,,5,,,4,,,,,,,
Walter,,,,,,,,1,,4,,,3,3,2,,,,,,5,5,,,,4,,3,,,2,,,
